bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
43,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",1299,(EF89LP08A),0.6745584
43,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",1209,(EF67LP13BX),0.6718824
43,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",285,(EF69LP34B),0.67158127
44,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",98,(EF07LI06),0.7058561
44,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",1549,(EF69LP42B),0.70008373
45,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",1540,(EF89LP29AX),0.70725965
45,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",342,(EF89LP29AX),0.7007293
45,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",343,(EF89LP29AX),0.7007293
45,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",1287,(EF89LP29AX),0.7007293
45,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",1444,(EF89LP29AX),0.7007293
46,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,893,(EF67EF05P2),0.7117944
