bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade,nota_corte_usada
1,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",809,(EF89LP24X),0.6713111,0.6699999999999997
1,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",585,(EF67LP20X),0.6685935,0.6699999999999997
1,(EF69CO01),"(EF69CO01) Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um ‘tipo de dado’.",324,(EF08LI03),0.6114042,0.6699999999999997
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",573,(EF67LP06),0.7370504,0.7299999999999998
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",312,(EF07LI06),0.73468834,0.7299999999999998
2,(EF69CO02),"(EF69CO02) Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",315,(EF07LI09),0.72210157,0.7299999999999998
3,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",877,(EF89LP10),0.68709064,0.6799999999999997
3,(EF69CO03),"(EF69CO03) Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",617,(EF69LP20A),0.6745237,0.6799999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,581,(EF67LP16),0.70460427,0.6999999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,633,(EF69LP39),0.68944657,0.6999999999999997
4,(EF69CO04),(EF69CO04) Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,114,(EF67EF03P6),0.6354728,0.6999999999999997
5,(EF69CO05),"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",582,(EF67LP17),0.6993115,0.6899999999999997
5,(EF69CO05),"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.",580,(EF67LP14),0.6874543,0.6899999999999997
6,(EF69CO06),"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",812,(EF89LP31),0.63622427,0.6299999999999997
6,(EF69CO06),"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.",629,(EF69LP34),0.6099398,0.6299999999999997
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",794,(EF89LP08),0.72189337,0.7199999999999998
7,(EF69CO07),"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.",631,(EF69LP35B),0.7167059,0.7199999999999998
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",336,(EF09LI10),0.6313491,0.6299999999999997
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",687,(EF67LP30B),0.6267776,0.6299999999999997
8,(EF69CO08),"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",326,(EF08LI05),0.5820899,0.6299999999999997
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",789,(EF89LP02),0.67267084,0.6699999999999997
9,(EF69CO09),"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.",801,(EF89LP13B),0.65402067,0.6699999999999997
10,(EF69CO10),(EF69CO10) Entender como é a estrutura e funcionamento da internet.,610,(EF69LP09),0.7050637,0.6999999999999997
